planet_name,planet_status,mass,mass_error_min,mass_error_max,planet_radius,radius_error_min,radius_error_max,planet_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,discovery_year,updated,publication,discovery_method,alternate_names,star_name,ra,dec,mag_j,mag_h,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_alternate_names
109 Psc b,Confirmed,5.743,0.289,0.289,1.152,0.021,0.021,1075.4,0.7,0.7,2.051,2000,2024-06-14,Published in a refereed paper,"Radial Velocity, Astrometry",HD 10697 b,109 Psc,26.2326,20.08315,12.782,12.386,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,5600.0,80.0,80.0,HD 10697
112 Psc b,Confirmed,0.033,0.005,0.005,0.232,0.021,0.021,4.4,0.0004,0.0004,0.054,2022,2024-06-14,Published in a refereed paper,Radial Velocity,HD 12235 b,112 Psc,30.03816479792542,3.097014011124166,5.204,4.63,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,5986.0,105.437,105.437,HD 12235
112 Psc c,Confirmed,9.866,1.781,1.781,0.232,0.021,0.021,36336.7,6039.4,6039.4,22.21,2022,2024-06-14,Published in a refereed paper,"Radial Velocity, Astrometry",HD 12235 c,112 Psc,30.03816479792542,3.097014011124166,5.204,4.63,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,5986.0,105.437,105.437,HD 12235
11 Com Ab,Confirmed,16.1284,1.53491,1.53491,0.232,0.021,0.021,326.03,0.32,0.32,1.29,2007,2024-08-01,Published in a refereed paper,Radial Velocity,unkown,11 Com A,185.1791667,17.7927778,12.782,12.386,110.6,10.5,10.5,-0.35,0.09,0.09,2.7,0.3,0.3,19.0,2.0,2.0,4742.0,100.0,100.0,HD 107383
11 UMi b,Confirmed,11.0873,1.1,1.1,0.232,0.021,0.021,516.22,3.25,3.25,1.54,2009,2023-03-03,Published in a refereed paper,Radial Velocity,unkown,11 UMi,229.275,71.8238889,12.782,12.386,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,4340.0,70.0,70.0,unkown
14 And Ab,Confirmed,4.684,0.23,0.23,0.232,0.021,0.021,185.84,0.23,0.23,0.83,2008,2024-07-30,Published in a refereed paper,Radial Velocity,unkown,14 And A,352.8208333,39.2361111,3.02,2.61,76.4,4.1,4.1,-0.24,0.1,0.1,2.2,0.2,0.2,11.0,1.0,1.0,4813.0,20.0,20.0,unkown
14 Her b,Confirmed,8.5,0.8,0.8,0.232,0.021,0.021,1767.56,0.22,0.22,2.82,2002,2024-10-15,Published in a refereed paper,Radial Velocity,unkown,14 Her,242.5958333,43.8216667,12.782,12.386,18.1,3.73,3.73,0.43,0.08,0.08,0.9,0.052,0.052,0.708,0.085,0.085,5311.0,87.0,87.0,unkown
14 Her c,Confirmed,7.1,0.6,0.6,0.232,0.021,0.021,52160.0,1028.0,1028.0,27.0,2006,2024-10-15,Submitted to a professional journal,Radial Velocity,HD 145675 c,14 Her,242.5958333,43.8216667,12.782,12.386,18.1,3.73,3.73,0.43,0.08,0.08,0.9,0.052,0.052,0.708,0.085,0.085,5311.0,87.0,87.0,unkown
16 Cyg Bb,Confirmed,1.64,0.08,0.08,0.232,0.021,0.021,799.5,0.6,0.6,1.68,1996,2024-07-28,Published in a refereed paper,Radial Velocity,unkown,16 Cyg B,295.4625,50.5175,12.782,12.386,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,5766.0,60.0,60.0,"HD 186427, GJ 765.1 B"
18 Del Ab,Confirmed,10.3,0.36,0.36,0.232,0.021,0.021,993.3,3.2,3.2,2.6,2008,2024-08-02,Published in a refereed paper,Radial Velocity,unkown,18 Del A,314.6083333,10.8391667,4.03,3.44,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,0.052,0.052,8.5,0.055,0.055,4979.0,18.0,18.0,HD 199665
1RXS 1609 b,Confirmed,14.0,3.0,3.0,1.7,0.021,0.021,11.456085,0.000107,0.000107,330.0,2008,2024-03-24,Published in a refereed paper,Imaging,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609",1RXS 1609,242.375,-21.0827778,9.82,9.12,145.0,20.0,20.0,0.01,0.1,0.1,0.73,0.05,0.05,1.35,0.055,0.055,4060.0,200.0,200.0,"1RXS1609, 1RXS J1609, 1RXS J160929.1-210524"
1RXS J103137.1-690205  b,Confirmed,36.5,2.4,2.4,0.232,0.021,0.021,11.456085,0.000107,0.000107,1725.0,2022,2024-10-24,Published in a refereed paper,"Imaging, Astrometry",2MASS J10313710-6901587 b,1RXS J103137.1-690205,157.90465123574,-69.03299832299,10.104,9.609,167.612736,3.73,3.73,0.01,0.1,0.1,0.87,0.052,0.052,1.06,0.055,0.055,4862.13,100.0,100.0,2MASS J10313710-6901587
1RXS J125608.8-692652 (AB)b,Confirmed,44.5,5.8,5.8,0.232,0.021,0.021,11.456085,0.000107,0.000107,503.0,2024,2024-06-24,Submitted to a professional journal,"Imaging, Astrometry",2MASS J12560830-6926539 (AB)b,1RXS J125608.8-692652,194.03461754608,-69.44835024525,8.91,8.25,98.6,3.73,3.73,0.01,0.1,0.1,0.7,0.052,0.052,1.831,0.055,0.055,3971.38,100.0,100.0,2MASS J12560830-6926539
1RXS J131752.0-505845 b,Confirmed,27.1,4.3,4.3,0.232,0.021,0.021,11.456085,0.000107,0.000107,5230.0,2022,2024-10-24,Published in a refereed paper,"Imaging, Astrometry",2MASS J13175314-5058481 b,unkown,276.1370416666667,31.331378244074443,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
1RXS J235133.3+312720 Ab,Confirmed,32.0,6.0,6.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,120.0,2012,2024-08-04,Published in a refereed paper,Imaging,unkown,1RXS J235133.3+312720 A,357.890308282,31.4563946913,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.45,0.05,0.05,0.95,0.055,0.055,5531.0,100.0,100.0,2MASS J23513366+3127229
1SWASP J1407 b,Confirmed,20.0,6.0,6.0,0.232,0.021,0.021,3725.0,900.0,900.0,3.9,2012,2014-10-29,Published in a refereed paper,Primary Transit,unkown,1SWASP J1407,211.950000016,-39.761944469,12.782,12.386,133.0,12.0,12.0,0.01,0.1,0.1,0.9,0.052,0.052,0.99,0.11,0.11,4400.0,100.0,100.0,unkown
23 Lib b,Confirmed,1.59,0.02,0.02,0.232,0.021,0.021,258.19,0.07,0.07,0.81,1999,2024-05-28,Published in a refereed paper,Radial Velocity,HD 134987 b,23 Lib,228.3666667,-25.3091667,12.782,12.386,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,5740.0,23.0,23.0,HD 134987
