#This file was produced by Open Exoplanet Catalogue https://github.com/OpenExoplanetCatalogue/open_exoplanet_catalogue/blob/master/

# COLUMN system_name: Name of the planetary system.  
# COLUMN star_name: Host star's name.  
# COLUMN star_mass: Star's mass in Solar masses (M☉).  
# COLUMN star_radius: Star's radius in Solar radii (R☉).  
# COLUMN star_temperature: Star's temperature in Kelvin (K).  
# COLUMN star_metallicity: Star's metallicity [Fe/H] in dex.  
# COLUMN star_spectral_type: Star's spectral classification.  
# COLUMN planet_name: Exoplanet's name.  
# COLUMN planet_mass: Exoplanet's mass in M♃ or M⊕.  
# COLUMN planet_radius: Exoplanet's radius in R♃ or R⊕.  
# COLUMN planet_temperature: Exoplanet's temperature in Kelvin (K).  
# COLUMN planet_period: Orbital period in days.  
# COLUMN planet_semimajoraxis: Semi-major axis in AU.  
# COLUMN planet_eccentricity: Orbital eccentricity.  
# COLUMN planet_inclination: Orbital inclination in degrees.  
# COLUMN discovery_method: Method used to detect the exoplanet.  
# COLUMN is_transiting: 1 if transiting, 0 if not.  
# COLUMN discovery_year: Year of discovery.  

system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,star_spectral_type,planet_name,planet_mass,planet_radius,planet_temperature,planet_period,planet_semimajoraxis,planet_eccentricity,planet_inclination,discovery_method,is_transiting,discovery_year
11 Com,11 Com,2.7,19,4742,-0.35,G8 III,11 Com b,19.4,,,326.03,1.29,0.231,,RV,0,2008
11 UMi,11 UMi,1.80,24.08,4340,0.04,K4III,11 UMi b,11.20,,,516.22,1.54,0.08,,RV,0,2009
14 And,14 And,2.2,11,4813,-0.24,K0III,14 And b,4.8,,,185.84,0.83,0,,RV,0,2008
14 Her,14 Her,1.0,0.708,5311.0,0.43,K0 V,14 Her b,4.975,,,1766,2.864,0.359,,RV,0,2002
14 Her,14 Her,1.0,0.708,5311.0,0.43,K0 V,14 Her c,7.679,,,9886,9.037,0.184,,RV,0,2006
18 Del,18 Del,2.3,8.5,4979,-0.052,G6III,18 Del b,10.3,,,993.3,2.6,0.08,,RV,0,2008
1RXS1609,1RXS1609,0.85,1.35,4060,,M0V,1RXS1609 b,,1.7,2000,,,,,imaging,0,2008
1SWASP J1407,1SWASP J1407,,0.99,,,K5,1SWASP J1407 b,14.0,,,10044,,0.8,,transit,1,2007
24 Boo,24 Boo,0.99,10.64,4893.00,-0.770,G3IV,24 Boo b,0.91000,,,30.35060000,0.190000,0.042000,,RV,0,2018
24 Sex,24 Sex,1.54,4.9,5098,-0.03,G5,24 Sex b,1.99,,,452.8,1.333,0.09,,RV,0,2010
24 Sex,24 Sex,1.54,4.9,5098,-0.03,G5,24 Sex c,0.86,,,883.0,2.08,0.29,,RV,0,2010
2M 0746+20,2M 0746+20,0.12,0.089,2205.0,,L0/L1.5,2M 0746+20 b,30,0.97,,4640,2.897,0.487,138.2,imaging,0,2010
2M 1252+2735,2M 1252+2735,,,,,G8IV,2M 1252+2735 b,6.88,,,35.08,,0.0,,RV,0,2021
