system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,planet_name,planet_radius,planet_temperature,planet_period,semi_major_axis,discovery_method,is_transiting,discovery_year
11 Com,11 Com,2.7,19.0,4742.0,-0.35,11 Com b,0.203,762.0,326.03,1.29,RV,0,2008.0
11 UMi,11 UMi,1.8,24.08,4340.0,0.04,11 UMi b,0.203,762.0,516.22,1.54,RV,0,2009.0
14 And,14 And,2.2,11.0,4813.0,-0.24,14 And b,0.203,762.0,185.84,0.83,RV,0,2008.0
14 Her,14 Her,1.0,0.708,5311.0,0.43,14 Her b,0.203,762.0,1766.0,2.864,RV,0,2002.0
14 Her,14 Her,1.0,0.708,5311.0,0.43,14 Her c,0.203,762.0,9886.0,9.037,RV,0,2006.0
18 Del,18 Del,2.3,8.5,4979.0,-0.052,18 Del b,0.203,762.0,993.3,2.6,RV,0,2008.0
1RXS1609,1RXS1609,0.85,1.35,4060.0,0.0,1RXS1609 b,1.7,2000.0,11.8705247,0.104541,imaging,0,2008.0
1SWASP J1407,1SWASP J1407,0.954,0.99,5645.0,0.0,1SWASP J1407 b,0.203,762.0,10044.0,0.104541,transit,1,2007.0
24 Boo,24 Boo,0.99,10.64,4893.0,-0.77,24 Boo b,0.203,762.0,30.3506,0.19,RV,0,2018.0
24 Sex,24 Sex,1.54,4.9,5098.0,-0.03,24 Sex b,0.203,762.0,452.8,1.333,RV,0,2010.0
24 Sex,24 Sex,1.54,4.9,5098.0,-0.03,24 Sex c,0.203,762.0,883.0,2.08,RV,0,2010.0
2M 0746+20,2M 0746+20,0.12,0.089,2205.0,0.0,2M 0746+20 b,0.97,762.0,4640.0,2.897,imaging,0,2010.0
2M 1252+2735,2M 1252+2735,0.954,0.945,5645.0,0.0,2M 1252+2735 b,0.203,762.0,35.08,0.104541,RV,0,2021.0
2M 1253+2734,2M 1253+2734,0.954,0.945,5645.0,0.0,2M 1253+2734 b,0.203,762.0,24.31,0.104541,RV,0,2021.0
2M 1258+2630,2M 1258+2630,0.954,0.945,5645.0,0.0,2M 1258+2630 b,0.203,762.0,11.88,0.104541,RV,0,2021.0
2M 2140+16,2M 2140+16,0.08,0.1,2300.0,0.0,2M 2140+16 b,0.92,762.0,7340.0,3.53,imaging,0,2010.0
